PAYS;VILLE;CODE_IATA;MONTANT;ZONE;DATE
MAURITANIE;Nouakchott;NKC;143;MONDE;01/01/2024
MEXIQUE;Cancun;CUN;150;MONDE;01/01/2024
MEXIQUE;Mexico;MEX;150;MONDE;01/01/2024
NIGERIA;Abuja;ABV;230;MONDE;01/01/2024
NIGERIA;Lagos;LOS;230;MONDE;01/01/2024
NORVEGE;Oslo;OSL;235,54;EUROPE;01/01/2024
PANAMA;Panama;PTY;164,39;MONDE;01/01/2024
PAYS-BAS;Amsterdam;AMS;173;EURO;01/01/2024
PEROU;Lima;LIM;157;MONDE;01/01/2024
POLOGNE;Cracovie;KRK;175;EUROPE;01/01/2024
POLOGNE;Varsovie;WAW;175;EUROPE;01/01/2024
PORTUGAL;Faro;FAO;173;EURO;01/01/2024
PORTUGAL;Lisbonne;LIS;173;EURO;01/01/2024
PORTUGAL;Porto;OPO;173;EURO;01/01/2024
REP CENTRAFRICAINE;Bangui;BGF;146,35;MONDE;01/01/2024
REPUBLIQUE DEM DU CONGO;Kinshasa;FIH;195;MONDE;01/01/2024
REPUBLIQUE DOMINICAINE;Punta Cana;PUJ;131,14;MONDE;01/01/2024
REPUBLIQUE DOMINICAINE;Saint-Domingue;SDQ;131,14;MONDE;01/01/2024
REPUBLIQUE TCHEQUE;Prague;PRG;180;EUROPE;01/01/2024
ROUMANIE;Bucarest;OTP;160;EUROPE;01/01/2024
ROYAUME-UNI;Londres;LHR;246,64;EUROPE;01/01/2024
SAINT-MARTIN;Saint-Martin;SXM;173;EURO;01/01/2024
SENEGAL;Dakar;DSS;139,95;MONDE;01/01/2024
SERBIE;Belgrade;BEG;150;EUROPE;01/01/2024
SINGAPOUR;Singapour;SIN;309,64;MONDE;01/01/2024
SUEDE;Stockholm;ARN;176,92;EUROPE;01/01/2024
SUISSE;Geneve;GVA;247,1;EUROPE;01/01/2024
SUISSE;Zurich;ZRH;247,1;EUROPE;01/01/2024
TAIWAN;Taipei;TPE;174,61;MONDE;01/01/2024
TANZANIE;Zanzibar;ZNZ;135;MONDE;01/01/2024
TCHAD;N'Djamena;NDJ;225;MONDE;01/01/2024
THAILANDE;Bangkok;BKK;134,61;MONDE;01/01/2024
TOGO;Lome;LFW;125,98;MONDE;01/01/2024
TUNISIE;Djerba;DJE;125;EUROPE;01/01/2024
TUNISIE;Enfidha;NBE;125;EUROPE;01/01/2024
TUNISIE;Monastir;MIR;125;EUROPE;01/01/2024
TUNISIE;Sfax;SFA;125;EUROPE;01/01/2024
TUNISIE;Tabarka;TBJ;125;EUROPE;01/01/2024
TUNISIE;Tozeur;TOE;125;EUROPE;01/01/2024
TUNISIE;Tunis;TUN;125;EUROPE;01/01/2024
TURQUIE;Istanbul;IST;135;MONDE;01/01/2024
VENEZUELA;Caracas;CCS;195;MONDE;01/01/2024
VIETNAM;Hanoi;HAN;158;MONDE;01/01/2024
VIETNAM;Ho Chi Minh;SGN;158;MONDE;01/01/2024
